# Please cite arXiv:1805.05950
# Ratio of tracks to cascades
# First line is a list of tau/m in s/eV (1e+100 is the SM)
# Columns are Enu in GeV followed by the track to cascade ratio for each lifetime
1e+100 100 
100 0.338041 0.0866096 
117.49 0.338041 0.0866096 
138.038 0.338041 0.0866096 
162.181 0.338041 0.0866096 
190.546 0.338041 0.0866096 
223.872 0.338041 0.0866096 
263.027 0.338041 0.0866096 
309.03 0.338041 0.0866096 
363.078 0.338041 0.0866096 
426.58 0.338041 0.0866096 
501.187 0.338041 0.0866096 
588.844 0.338041 0.0866096 
691.831 0.338041 0.0866096 
812.831 0.338041 0.0866096 
954.993 0.338041 0.0866097 
1122.02 0.338041 0.0866084 
1318.26 0.338041 0.0866141 
1548.82 0.338041 0.0866128 
1819.7 0.338041 0.0866225 
2137.96 0.338041 0.0866247 
2511.89 0.338041 0.08663 
2951.21 0.338041 0.086642 
3467.37 0.338041 0.087062 
4073.8 0.338041 0.0871209 
4786.3 0.338041 0.0878665 
5623.41 0.338041 0.0880094 
6606.93 0.338041 0.0882241 
7762.47 0.338041 0.0884959 
9120.11 0.338041 0.0888131 
10715.2 0.338041 0.0891637 
12589.3 0.338041 0.0896042 
14791.1 0.338041 0.0901193 
17378 0.338041 0.0907215 
20417.4 0.338041 0.0914245 
23988.3 0.338041 0.0922447 
28183.8 0.338041 0.0932002 
33113.1 0.338041 0.094312 
38904.5 0.338041 0.0956037 
45708.8 0.338041 0.0971016 
53703.2 0.338041 0.0988355 
63095.7 0.338041 0.100839 
74131 0.338041 0.10315 
87096.4 0.338041 0.105817 
102329 0.338041 0.108887 
120226 0.338041 0.112419 
141254 0.338041 0.116487 
165959 0.338041 0.121143 
194984 0.338041 0.1265 
229087 0.338041 0.132591 
269153 0.338041 0.139575 
316228 0.338041 0.147522 
371535 0.338041 0.156543 
436516 0.338041 0.166604 
512861 0.338041 0.177697 
602560 0.338041 0.189701 
707946 0.338041 0.202326 
831764 0.338041 0.215236 
977237 0.338041 0.228046 
1.14815e+06 0.338041 0.240439 
1.34896e+06 0.338041 0.25214 
1.58489e+06 0.338041 0.262956 
1.86209e+06 0.338041 0.27278 
2.18776e+06 0.338041 0.281578 
2.5704e+06 0.338041 0.289365 
3.01995e+06 0.338041 0.296198 
3.54813e+06 0.338041 0.302151 
4.16869e+06 0.338041 0.307309 
4.89779e+06 0.338041 0.311761 
5.7544e+06 0.338041 0.315591 
6.76083e+06 0.338041 0.318877 
7.94328e+06 0.338041 0.321693 
9.33254e+06 0.338041 0.324101 
1.09648e+07 0.338041 0.326159 
1.28825e+07 0.338041 0.327916 
1.51356e+07 0.338041 0.329415 
1.77828e+07 0.338041 0.330694 
2.0893e+07 0.338041 0.331784 
2.45471e+07 0.338041 0.332712 
2.88403e+07 0.338041 0.333504 
3.38844e+07 0.338041 0.334178 
3.98107e+07 0.338041 0.334752 
4.67735e+07 0.338041 0.335241 
5.49541e+07 0.338041 0.335657 
6.45654e+07 0.338041 0.336012 
7.58578e+07 0.338041 0.336314 
8.91251e+07 0.338041 0.336571 
1.04713e+08 0.338041 0.33679 
1.23027e+08 0.338041 0.336976 
1.44544e+08 0.338041 0.337134 
1.69824e+08 0.338041 0.337269 
1.99526e+08 0.338041 0.337384 
2.34423e+08 0.338041 0.337482 
2.75423e+08 0.338041 0.337565 
3.23594e+08 0.338041 0.337636 
3.80189e+08 0.338041 0.337696 
4.46684e+08 0.338041 0.337748 
5.24807e+08 0.338041 0.337791 
6.16595e+08 0.338041 0.337829 
7.24436e+08 0.338041 0.33786 
8.51138e+08 0.338041 0.337887 
1e+09 0.338041 0.33791 
