# Please cite arXiv:1805.05950
# nu_tau suppression
# Columns are Enu in GeV followed by fractional decrease in nu_tau flux at tau/m=100 s/eV
100 0.186395 
117.49 0.186395 
138.038 0.186395 
162.181 0.186395 
190.546 0.186395 
223.872 0.186395 
263.027 0.186395 
309.03 0.186395 
363.078 0.186395 
426.58 0.186395 
501.187 0.186395 
588.844 0.186395 
691.831 0.186395 
812.831 0.186395 
954.993 0.186395 
1122.02 0.186395 
1318.26 0.186395 
1548.82 0.186395 
1819.7 0.186396 
2137.96 0.186397 
2511.89 0.1864 
2951.21 0.186412 
3467.37 0.186441 
4073.8 0.186966 
4786.3 0.187123 
5623.41 0.188015 
6606.93 0.188297 
7762.47 0.188629 
9120.11 0.189018 
10715.2 0.189474 
12589.3 0.190009 
14791.1 0.190637 
17378 0.191373 
20417.4 0.192235 
23988.3 0.193246 
28183.8 0.194429 
33113.1 0.195813 
38904.5 0.197431 
45708.8 0.199322 
53703.2 0.20153 
63095.7 0.204106 
74131 0.207117 
87096.4 0.210632 
102329 0.214745 
120226 0.219567 
141254 0.225233 
165959 0.231905 
194984 0.239797 
229087 0.249149 
269153 0.260261 
316228 0.273508 
371535 0.289313 
436516 0.308153 
512861 0.330359 
602560 0.356257 
707946 0.385846 
831764 0.418871 
977237 0.45488 
1.14815e+06 0.493162 
1.34896e+06 0.532863 
1.58489e+06 0.573082 
1.86209e+06 0.61295 
2.18776e+06 0.651698 
2.5704e+06 0.688701 
3.01995e+06 0.723488 
3.54813e+06 0.755747 
4.16869e+06 0.785304 
4.89779e+06 0.812104 
5.7544e+06 0.836187 
6.76083e+06 0.857659 
7.94328e+06 0.876676 
9.33254e+06 0.893421 
1.09648e+07 0.908093 
1.28825e+07 0.920894 
1.51356e+07 0.932022 
1.77828e+07 0.941666 
2.0893e+07 0.950001 
2.45471e+07 0.957189 
2.88403e+07 0.963376 
3.38844e+07 0.968692 
3.98107e+07 0.973254 
4.67735e+07 0.977163 
5.49541e+07 0.98051 
6.45654e+07 0.983374 
7.58578e+07 0.985821 
8.91251e+07 0.987912 
1.04713e+08 0.989696 
1.23027e+08 0.99122 
1.44544e+08 0.992519 
1.69824e+08 0.993627 
1.99526e+08 0.994572 
2.34423e+08 0.995377 
2.75423e+08 0.996063 
3.23594e+08 0.996647 
3.80189e+08 0.997145 
4.46684e+08 0.99757 
5.24807e+08 0.997931 
6.16595e+08 0.998238 
7.24436e+08 0.9985 
8.51138e+08 0.998723 
1e+09 0.998913 
