# Please cite arXiv:2005.07200
# The regeneration component of the visible decay probability (as defined in the text) without cosmology as a function of final neutrino energy (GeV) when calculated numerically and analytically
# The first row is the parameters:
#   Initial flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   Final flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   g
#   m_1 (eV)
#   L (km)
#   gamma
# The columns are:
#   E_f (GeV)
#   Probability calculated numerically
#   Probability calculated analytically
1 0 1e-06 0.1 1.35571e+21 2
1000 0.330891 0.330891
1148.15 0.330891 0.330891
1318.26 0.330891 0.330891
1513.56 0.330891 0.330891
1737.8 0.330891 0.330891
1995.26 0.330891 0.330891
2290.87 0.330891 0.330891
2630.27 0.330891 0.330891
3019.95 0.330891 0.330891
3467.37 0.330891 0.330891
3981.07 0.330891 0.330891
4570.88 0.330891 0.330891
5248.07 0.330891 0.330891
6025.6 0.330891 0.330891
6918.31 0.330891 0.330891
7943.28 0.330891 0.330891
9120.11 0.330891 0.330891
10471.3 0.330891 0.330891
12022.6 0.330891 0.330891
13803.8 0.330891 0.330891
15848.9 0.330891 0.330891
18197 0.330891 0.330891
20893 0.330891 0.330891
23988.3 0.330891 0.330891
27542.3 0.330891 0.330891
31622.8 0.330891 0.330891
36307.8 0.330891 0.330891
41686.9 0.330891 0.330891
47863 0.330891 0.330891
54954.1 0.330891 0.330891
63095.7 0.330891 0.330891
72443.6 0.330891 0.330891
83176.4 0.33089 0.33089
95499.3 0.330887 0.330887
109648 0.330876 0.330876
125893 0.330838 0.330838
144544 0.33073 0.33073
165959 0.330465 0.330465
190546 0.329897 0.329897
218776 0.328804 0.328804
251189 0.326902 0.326902
288403 0.323869 0.323869
331131 0.319387 0.319387
380189 0.313193 0.313193
436516 0.305119 0.305119
501187 0.29512 0.29512
575440 0.283281 0.283281
660693 0.269803 0.269803
758578 0.254973 0.254973
870964 0.239137 0.239137
1e+06 0.222664 0.222664
1.14815e+06 0.205912 0.205912
1.31826e+06 0.189212 0.189212
1.51356e+06 0.172851 0.172851
1.7378e+06 0.157063 0.157063
1.99526e+06 0.142025 0.142025
2.29087e+06 0.127868 0.127868
2.63027e+06 0.114671 0.114671
3.01995e+06 0.102478 0.102478
3.46737e+06 0.0912961 0.0912961
3.98107e+06 0.0811103 0.0811103
4.57088e+06 0.0718851 0.0718851
5.24807e+06 0.063572 0.063572
6.0256e+06 0.0561135 0.0561135
6.91831e+06 0.0494474 0.0494474
7.94328e+06 0.0435092 0.0435092
9.12011e+06 0.0382349 0.0382349
1.04713e+07 0.033562 0.033562
1.20226e+07 0.0294311 0.0294311
1.38038e+07 0.0257863 0.0257863
1.58489e+07 0.0225758 0.0225758
1.8197e+07 0.0197519 0.0197519
2.0893e+07 0.0172713 0.0172713
2.39883e+07 0.0150945 0.0150945
2.75423e+07 0.0131863 0.0131863
3.16228e+07 0.0115149 0.0115149
3.63078e+07 0.010052 0.010052
4.16869e+07 0.00877235 0.00877235
4.7863e+07 0.00765365 0.00765365
5.49541e+07 0.00667613 0.00667613
6.30957e+07 0.00582232 0.00582232
7.24436e+07 0.00507685 0.00507685
8.31764e+07 0.00442617 0.00442617
9.54993e+07 0.00385839 0.00385839
1.09648e+08 0.00336307 0.00336307
1.25893e+08 0.00293105 0.00293105
1.44544e+08 0.0025543 0.0025543
1.65959e+08 0.00222582 0.00222582
1.90546e+08 0.00193946 0.00193946
2.18776e+08 0.00168984 0.00168984
2.51189e+08 0.00147228 0.00147228
2.88403e+08 0.00128267 0.00128267
3.31131e+08 0.00111744 0.00111744
3.80189e+08 0.000973462 0.000973462
4.36516e+08 0.000848012 0.000848012
5.01187e+08 0.00073871 0.00073871
5.7544e+08 0.000643483 0.000643483
6.60693e+08 0.000560521 0.000560521
7.58578e+08 0.000488247 0.000488247
8.70964e+08 0.000425286 0.000425286
1e+09 0.000370439 0.000370439
