# Please cite arXiv:2005.07200
# The invisible decay probability (as defined in the text) as a function of final neutrino energy (GeV) for various different couplings
# The first row is the parameters:
#   Initial flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   Final flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   m_1 (eV)
#   z
#   g
# The columns are:
#   E_f (GeV)
#   Probability in the SM
#   Probability with only g_21=g and g'_21=g and the rest =0
#   Probability with only g_31=g and g'_31=g and the rest =0
#   Probability with only g_32=g and g'_32=g and the rest =0
#   Probability with all six couplings =g
1 0 0 1 1e-06
1000 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
1148.15 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
1318.26 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
1513.56 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
1737.8 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
1995.26 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
2290.87 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
2630.27 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
3019.95 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
3467.37 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
3981.07 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
4570.88 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
5248.07 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
6025.6 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
6918.31 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
7943.28 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
9120.11 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
10471.3 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
12022.6 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
13803.8 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
15848.9 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
18197 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
20893 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
23988.3 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
27542.3 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
31622.8 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
36307.8 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
41686.9 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
47863 0.0462713 0.0189995 0.0432151 0.0432151 0.0159433
54954.1 0.0462713 0.0189995 0.0432151 0.0432151 0.0159434
63095.7 0.0462713 0.0189995 0.0432151 0.0432151 0.0159434
72443.6 0.0462713 0.0189998 0.0432151 0.0432151 0.0159436
83176.4 0.0462713 0.0190007 0.0432151 0.0432151 0.0159445
95499.3 0.0462713 0.0190038 0.0432151 0.0432151 0.0159477
109648 0.0462713 0.0190129 0.0432151 0.0432151 0.0159568
125893 0.0462713 0.0190354 0.0432151 0.0432151 0.0159793
144544 0.0462713 0.0190841 0.0432151 0.0432151 0.0160279
165959 0.0462713 0.0191777 0.0432151 0.0432151 0.0161215
190546 0.0462713 0.0193405 0.0432151 0.0432151 0.0162844
218776 0.0462713 0.0195998 0.0432151 0.0432151 0.0165436
251189 0.0462713 0.0199817 0.0432151 0.0432151 0.0169256
288403 0.0462713 0.0205077 0.0432151 0.0432151 0.0174516
331131 0.0462713 0.0211908 0.0432151 0.0432151 0.0181347
380189 0.0462713 0.0220334 0.0432151 0.0432151 0.0189772
436516 0.0462713 0.0230273 0.0432151 0.0432151 0.0199711
501187 0.0462713 0.0241547 0.0432151 0.0432151 0.0210986
575440 0.0462713 0.025391 0.0432151 0.0432151 0.0223348
660693 0.0462713 0.0267069 0.0432151 0.0432151 0.0236508
758578 0.0462713 0.028072 0.0432151 0.0432151 0.0250158
870964 0.0462713 0.0294564 0.0432151 0.0432151 0.0264003
1e+06 0.0462713 0.0308332 0.0432151 0.0432151 0.0277771
1.14815e+06 0.0462713 0.0321793 0.0432151 0.0432151 0.0291232
1.31826e+06 0.0462713 0.0334759 0.0432151 0.0432151 0.0304197
1.51356e+06 0.0462713 0.0347086 0.0432151 0.0432151 0.0316525
1.7378e+06 0.0462713 0.0358675 0.0432151 0.0432151 0.0328114
1.99526e+06 0.0462713 0.0369463 0.0432151 0.0432151 0.0338902
2.29087e+06 0.0462713 0.037942 0.0432152 0.0432152 0.0348858
2.63027e+06 0.0462713 0.038854 0.0432152 0.0432152 0.0357979
3.01995e+06 0.0462713 0.0396841 0.0432154 0.0432154 0.036628
3.46737e+06 0.0462713 0.0404354 0.043216 0.043216 0.0373792
3.98107e+06 0.0462713 0.0411118 0.0432175 0.0432175 0.0380557
4.57088e+06 0.0462713 0.0417184 0.0432211 0.0432212 0.0386623
5.24807e+06 0.0462713 0.0422602 0.0432285 0.0432286 0.0392041
6.0256e+06 0.0462713 0.0427426 0.0432421 0.0432422 0.0396867
6.91831e+06 0.0462713 0.043171 0.0432648 0.043265 0.0401156
7.94328e+06 0.0462713 0.0435503 0.0432996 0.0432999 0.0404965
9.12011e+06 0.0462713 0.0438856 0.0433494 0.0433497 0.0408353
1.04713e+07 0.0462713 0.0441813 0.043416 0.0434165 0.0411384
1.20226e+07 0.0462713 0.0444417 0.0435006 0.0435012 0.0414123
1.38038e+07 0.0462713 0.0446707 0.0436027 0.0436034 0.0416638
1.58489e+07 0.0462713 0.0448718 0.0437211 0.0437219 0.0418996
1.8197e+07 0.0462713 0.0450483 0.0438532 0.0438541 0.0421256
2.0893e+07 0.0462713 0.045203 0.0439962 0.0439971 0.0423467
