# Please cite arXiv:2005.07200
# The track to cascade ratio as a function of final neutrino energy (GeV) for invisible and visible decay
# The first row is the parameters:
#   g
#   m_1 (eV)
#   z
#   gamma
# The columns are:
#   E_f (GeV)
#   Track to cascade ratio for the SM
#   Track to cascade ratio for invisible decay
#   Track to cascade ratio for visible decay
1e-06 0 1 2
1000 0.544192 0.104416 0.104416
1148.15 0.544192 0.104416 0.104416
1318.26 0.544192 0.104416 0.104416
1513.56 0.544192 0.104416 0.104416
1737.8 0.544192 0.104416 0.104416
1995.26 0.544192 0.104416 0.104416
2290.87 0.544192 0.104416 0.104416
2630.27 0.544192 0.104416 0.104416
3019.95 0.544192 0.104416 0.104416
3467.37 0.544192 0.104416 0.104416
3981.07 0.544192 0.104416 0.104417
4570.88 0.544192 0.104416 0.104417
5248.07 0.544192 0.104416 0.104418
6025.6 0.544192 0.104416 0.104419
6918.31 0.544192 0.104416 0.104421
7943.28 0.544192 0.104416 0.104424
9120.11 0.544192 0.104416 0.104428
10471.3 0.544192 0.104416 0.104434
12022.6 0.544192 0.104416 0.104442
13803.8 0.544192 0.104416 0.104452
15848.9 0.544192 0.104416 0.104467
18197 0.544192 0.104416 0.104486
20893 0.544192 0.104416 0.104511
23988.3 0.544192 0.104416 0.104544
27542.3 0.544192 0.104416 0.104589
31622.8 0.544192 0.104416 0.104647
36307.8 0.544192 0.104416 0.104724
41686.9 0.544192 0.104416 0.104825
47863 0.544192 0.104416 0.104957
54954.1 0.544192 0.104416 0.10513
63095.7 0.544192 0.104417 0.105353
72443.6 0.544192 0.10442 0.105639
83176.4 0.544192 0.104433 0.106006
95499.3 0.544192 0.104477 0.106477
109648 0.544192 0.104605 0.107099
125893 0.544192 0.104921 0.107951
144544 0.544192 0.105602 0.109161
165959 0.544192 0.106908 0.110915
190546 0.544192 0.109162 0.113442
218776 0.544192 0.112704 0.116982
251189 0.544192 0.117823 0.121752
288403 0.544192 0.124685 0.12789
331131 0.544192 0.133286 0.135423
380189 0.544192 0.143441 0.144257
436516 0.544192 0.154818 0.154184
501187 0.544192 0.166999 0.164929
575440 0.544192 0.179545 0.176157
660693 0.544192 0.192053 0.187547
758578 0.544192 0.204193 0.198826
870964 0.544192 0.215718 0.209747
1e+06 0.544192 0.226468 0.220122
1.14815e+06 0.544192 0.236352 0.229841
1.31826e+06 0.544192 0.245337 0.238843
1.51356e+06 0.544192 0.253433 0.247065
1.7378e+06 0.544192 0.260675 0.254532
1.99526e+06 0.544192 0.267119 0.261264
2.29087e+06 0.544192 0.272826 0.267286
2.63027e+06 0.544192 0.277864 0.272666
3.01995e+06 0.544192 0.282299 0.277436
3.46737e+06 0.544192 0.286195 0.281663
3.98107e+06 0.544192 0.289612 0.285391
4.57088e+06 0.544192 0.292606 0.288669
5.24807e+06 0.544192 0.29523 0.291559
6.0256e+06 0.544192 0.297538 0.294105
6.91831e+06 0.544192 0.2996 0.296373
7.94328e+06 0.544192 0.301511 0.298459
9.12011e+06 0.544192 0.303417 0.300493
1.04713e+07 0.544192 0.305525 0.30267
1.20226e+07 0.544192 0.308103 0.305238
1.38038e+07 0.544192 0.311464 0.308484
1.58489e+07 0.544192 0.315916 0.312699
1.8197e+07 0.544192 0.32172 0.318137
2.0893e+07 0.544192 0.329029 0.324966
2.39883e+07 0.544192 0.337869 0.333242
2.75423e+07 0.544192 0.348126 0.342898
3.16228e+07 0.544192 0.359569 0.353756
3.63078e+07 0.544192 0.371888 0.365557
4.16869e+07 0.544192 0.384735 0.377996
4.7863e+07 0.544192 0.397769 0.390756
5.49541e+07 0.544192 0.410682 0.403538
6.30957e+07 0.544192 0.423216 0.416082
7.24436e+07 0.544192 0.435176 0.428178
8.31764e+07 0.544192 0.446425 0.439666
9.54993e+07 0.544192 0.456876 0.450439
1.09648e+08 0.544192 0.466488 0.460431
1.25893e+08 0.544192 0.475253 0.469613
1.44544e+08 0.544192 0.48319 0.477985
1.65959e+08 0.544192 0.490334 0.485569
1.90546e+08 0.544192 0.496732 0.492398
2.18776e+08 0.544192 0.502438 0.49852
2.51189e+08 0.544192 0.50751 0.503985
2.88403e+08 0.544192 0.512004 0.508847
3.31131e+08 0.544192 0.515976 0.513159
3.80189e+08 0.544192 0.51948 0.516974
4.36516e+08 0.544192 0.522565 0.520342
5.01187e+08 0.544192 0.525277 0.523311
5.7544e+08 0.544192 0.527658 0.525922
6.60693e+08 0.544192 0.529747 0.528216
7.58578e+08 0.544192 0.531577 0.53023
8.70964e+08 0.544192 0.533179 0.531995
1e+09 0.544192 0.53458 0.533541
