# Please cite arXiv:xxxx.xxxxx
# The visible decay probability (as defined in the text) as a function of final neutrino energy (GeV) for scalar interactions, pseudo-scalar interactions, and both
# The first row is the parameters:
#   Initial flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   Final flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   g
#   m_1 (eV)
#   z
#   gamma
# The columns are:
#   E_f (GeV)
#   Probability in the SM
#   Probability with only scalar interactions
#   Probability with only pseudo-scalar interactions
#   Probability with both scalar and pseudo-scalar interactions
1 0 1e-06 0 1 2
1000 0.0462713 0.0294185 0.0311349 0.0300704
1148.15 0.0462713 0.0294403 0.0311518 0.0300831
1318.26 0.0462713 0.0294611 0.0311699 0.030095
1513.56 0.0462713 0.0294833 0.0311931 0.0300998
1737.8 0.0462713 0.0295082 0.0312184 0.0301205
1995.26 0.0462713 0.0295375 0.031246 0.030135
2290.87 0.0462713 0.0295724 0.031279 0.0301546
2630.27 0.0462713 0.0296087 0.0313164 0.0301703
3019.95 0.0462713 0.0296534 0.0313588 0.0301937
3467.37 0.0462713 0.0297031 0.0314071 0.0302204
3981.07 0.0462713 0.0297585 0.0314624 0.0302507
4570.88 0.0462713 0.029821 0.0315248 0.0302832
5248.07 0.0462713 0.029891 0.0315945 0.0303203
6025.6 0.0462713 0.0299678 0.0316697 0.0303623
6918.31 0.0462713 0.0300658 0.0317608 0.0304132
7943.28 0.0462713 0.030169 0.0318604 0.0304675
9120.11 0.0462713 0.0302833 0.031974 0.0305297
10471.3 0.0462713 0.0304128 0.0321003 0.0306019
12022.6 0.0462713 0.0305554 0.0322389 0.0306804
13803.8 0.0462713 0.0307173 0.0323936 0.0307718
15848.9 0.0462713 0.0308932 0.0325651 0.0308727
18197 0.0462713 0.0310892 0.0327534 0.030987
20893 0.0462713 0.0313059 0.0329627 0.0311136
23988.3 0.0462713 0.0315439 0.0331879 0.0312559
27542.3 0.0462713 0.0317963 0.0334345 0.0314142
31622.8 0.0462713 0.0320816 0.0337019 0.0315877
36307.8 0.0462713 0.0323676 0.0339845 0.0317809
41686.9 0.0462713 0.0326801 0.0342723 0.0319934
47863 0.0462713 0.0330136 0.0345756 0.0322237
54954.1 0.0462713 0.0333453 0.034886 0.03248
63095.7 0.0462713 0.0336754 0.0351849 0.0327559
72443.6 0.0462713 0.0340035 0.035494 0.0330407
83176.4 0.0462713 0.0343369 0.0357886 0.0333471
95499.3 0.0462713 0.0346884 0.036105 0.0336607
109648 0.0462713 0.0350412 0.0364335 0.0339808
125893 0.0462713 0.0354397 0.0367944 0.0343021
144544 0.0462713 0.0358743 0.0372195 0.0346243
165959 0.0462713 0.0363829 0.0377162 0.0349434
190546 0.0462713 0.0369669 0.0382972 0.0352568
218776 0.0462713 0.0376306 0.0389485 0.03561
251189 0.0462713 0.0383683 0.0396818 0.0359913
288403 0.0462713 0.0391503 0.0404749 0.0364309
331131 0.0462713 0.039989 0.0413169 0.036933
380189 0.0462713 0.0408724 0.0422109 0.037512
436516 0.0462713 0.0417618 0.0431258 0.0381742
501187 0.0462713 0.0426585 0.0440502 0.0388927
575440 0.0462713 0.0435439 0.0449679 0.0396848
660693 0.0462713 0.0444107 0.0458816 0.0405373
758578 0.0462713 0.0452575 0.0467662 0.041411
870964 0.0462713 0.0460648 0.0476255 0.0423086
1e+06 0.0462713 0.0468463 0.0484553 0.0432215
1.14815e+06 0.0462713 0.0475867 0.0492545 0.0441261
1.31826e+06 0.0462713 0.0482932 0.0500167 0.0450019
1.51356e+06 0.0462713 0.0489615 0.0507445 0.0458706
1.7378e+06 0.0462713 0.0495996 0.0514413 0.0467038
1.99526e+06 0.0462713 0.0502006 0.0520994 0.0475008
2.29087e+06 0.0462713 0.050774 0.0527232 0.0482707
2.63027e+06 0.0462713 0.0513182 0.0533027 0.0489958
3.01995e+06 0.0462713 0.0518334 0.0538347 0.0496937
3.46737e+06 0.0462713 0.0523156 0.0543095 0.0503534
3.98107e+06 0.0462713 0.0527619 0.0547161 0.0509825
4.57088e+06 0.0462713 0.0531656 0.0550421 0.0515828
5.24807e+06 0.0462713 0.0535141 0.0552763 0.0521447
6.0256e+06 0.0462713 0.0538014 0.0554096 0.0526732
6.91831e+06 0.0462713 0.0540155 0.0554374 0.0531612
7.94328e+06 0.0462713 0.0541479 0.0553609 0.0535991
9.12011e+06 0.0462713 0.0541925 0.0551819 0.0539805
1.04713e+07 0.0462713 0.0541485 0.0549121 0.0542918
1.20226e+07 0.0462713 0.0540172 0.0545632 0.0545231
1.38038e+07 0.0462713 0.0538049 0.0541505 0.0546651
1.58489e+07 0.0462713 0.0535223 0.0536903 0.0547129
1.8197e+07 0.0462713 0.053181 0.0531983 0.0546647
2.0893e+07 0.0462713 0.0527948 0.052689 0.0545225
2.39883e+07 0.0462713 0.0523773 0.0521757 0.0542942
2.75423e+07 0.0462713 0.0519413 0.0516691 0.0539905
3.16228e+07 0.0462713 0.0514987 0.051178 0.0536247
3.63078e+07 0.0462713 0.0510593 0.050709 0.0532113
4.16869e+07 0.0462713 0.0506311 0.0502666 0.052765
4.7863e+07 0.0462713 0.0502203 0.0498539 0.0522997
5.49541e+07 0.0462713 0.0498315 0.0494724 0.0518275
6.30957e+07 0.0462713 0.0494676 0.0491224 0.0513591
