# Please cite arXiv:2005.07200
# The visible decay probability (as defined in the text) as a function of final neutrino energy (GeV) for various different couplings
# The first row is the parameters:
#   Initial flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   Final flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   g
#   m_1 (eV)
#   z
#   gamma
# The columns are:
#   E_f (GeV)
#   Probability in the SM
#   Probability with only g_21=g and g'_21=g and the rest =0
#   Probability with only g_31=g and g'_31=g and the rest =0
#   Probability with only g_32=g and g'_32=g and the rest =0
#   Probability with all six couplings =g
1 0 1e-06 0 1 2
1000 0.0462713 0.0266399 0.0547161 0.0485336 0.0300704
1148.15 0.0462713 0.0266476 0.0547165 0.0485337 0.0300831
1318.26 0.0462713 0.0266564 0.0547169 0.0485339 0.030095
1513.56 0.0462713 0.0266665 0.0547174 0.0485341 0.0300998
1737.8 0.0462713 0.0266781 0.0547179 0.0485344 0.0301205
1995.26 0.0462713 0.0266914 0.0547185 0.0485346 0.030135
2290.87 0.0462713 0.0267065 0.0547192 0.0485349 0.0301546
2630.27 0.0462713 0.0267237 0.05472 0.0485353 0.0301703
3019.95 0.0462713 0.0267435 0.0547209 0.0485357 0.0301937
3467.37 0.0462713 0.0267659 0.054722 0.0485362 0.0302204
3981.07 0.0462713 0.0267916 0.0547232 0.0485367 0.0302507
4570.88 0.0462713 0.0268207 0.0547246 0.0485374 0.0302832
5248.07 0.0462713 0.0268539 0.0547261 0.0485381 0.0303203
6025.6 0.0462713 0.0268915 0.054728 0.0485389 0.0303623
6918.31 0.0462713 0.0269342 0.0547301 0.0485399 0.0304132
7943.28 0.0462713 0.0269825 0.0547325 0.0485409 0.0304675
9120.11 0.0462713 0.0270372 0.0547353 0.0485422 0.0305297
10471.3 0.0462713 0.0270988 0.0547384 0.0485436 0.0306019
12022.6 0.0462713 0.0271682 0.0547421 0.0485453 0.0306804
13803.8 0.0462713 0.0272462 0.0547462 0.0485471 0.0307718
15848.9 0.0462713 0.0273336 0.054751 0.0485493 0.0308727
18197 0.0462713 0.0274313 0.0547565 0.0485518 0.030987
20893 0.0462713 0.02754 0.0547628 0.0485546 0.0311136
23988.3 0.0462713 0.0276607 0.05477 0.0485579 0.0312559
27542.3 0.0462713 0.027794 0.0547783 0.0485617 0.0314142
31622.8 0.0462713 0.0279407 0.0547877 0.048566 0.0315877
36307.8 0.0462713 0.028101 0.0547986 0.0485709 0.0317809
41686.9 0.0462713 0.0282752 0.054811 0.0485765 0.0319934
47863 0.0462713 0.0284627 0.0548253 0.048583 0.0322237
54954.1 0.0462713 0.0286626 0.0548415 0.0485904 0.03248
63095.7 0.0462713 0.0288731 0.0548602 0.0485989 0.0327559
72443.6 0.0462713 0.0290911 0.0548814 0.0486087 0.0330407
83176.4 0.0462713 0.0293124 0.0549058 0.0486198 0.0333471
95499.3 0.0462713 0.0295317 0.0549335 0.0486325 0.0336607
109648 0.0462713 0.0297435 0.0549652 0.0486471 0.0339808
125893 0.0462713 0.0299438 0.0550013 0.0486637 0.0343021
144544 0.0462713 0.030132 0.0550419 0.0486827 0.0346243
165959 0.0462713 0.0303125 0.0550892 0.0487043 0.0349434
190546 0.0462713 0.0304959 0.0551424 0.0487289 0.0352568
218776 0.0462713 0.0306978 0.0552027 0.0487569 0.03561
251189 0.0462713 0.0309366 0.0552711 0.0487887 0.0359913
288403 0.0462713 0.031231 0.0553485 0.0488246 0.0364309
331131 0.0462713 0.0315959 0.0554359 0.0488653 0.036933
380189 0.0462713 0.0320409 0.0555344 0.0489112 0.037512
436516 0.0462713 0.0325687 0.0556453 0.0489628 0.0381742
501187 0.0462713 0.033175 0.0557696 0.0490207 0.0388927
575440 0.0462713 0.03385 0.0559088 0.0490855 0.0396848
660693 0.0462713 0.0345797 0.0560642 0.0491578 0.0405373
758578 0.0462713 0.0353476 0.0562369 0.0492382 0.041411
870964 0.0462713 0.0361368 0.0564282 0.0493271 0.0423086
1e+06 0.0462713 0.0369309 0.0566391 0.0494252 0.0432215
1.14815e+06 0.0462713 0.0377154 0.0568706 0.0495327 0.0441261
1.31826e+06 0.0462713 0.0384778 0.0571229 0.0496498 0.0450019
1.51356e+06 0.0462713 0.0392083 0.057396 0.0497766 0.0458706
1.7378e+06 0.0462713 0.0398999 0.0576888 0.0499124 0.0467038
1.99526e+06 0.0462713 0.0405474 0.0579993 0.0500565 0.0475008
2.29087e+06 0.0462713 0.0411482 0.0583239 0.050207 0.0482707
2.63027e+06 0.0462713 0.0417009 0.0586568 0.0503613 0.0489958
3.01995e+06 0.0462713 0.0422059 0.0589895 0.0505156 0.0496937
3.46737e+06 0.0462713 0.0426645 0.0593105 0.0506646 0.0503534
3.98107e+06 0.0462713 0.0430786 0.0596048 0.0508017 0.0509825
4.57088e+06 0.0462713 0.0434509 0.0598547 0.0509193 0.0515828
5.24807e+06 0.0462713 0.0437842 0.0600407 0.0510093 0.0521447
6.0256e+06 0.0462713 0.0440815 0.0601436 0.0510641 0.0526732
6.91831e+06 0.0462713 0.0443459 0.0601467 0.0510775 0.0531612
7.94328e+06 0.0462713 0.0445804 0.0600378 0.0510456 0.0535991
9.12011e+06 0.0462713 0.0447879 0.059811 0.0509671 0.0539805
1.04713e+07 0.0462713 0.0449711 0.0594673 0.0508437 0.0542918
1.20226e+07 0.0462713 0.0451327 0.0590144 0.0506793 0.0545231
1.38038e+07 0.0462713 0.0452748 0.0584655 0.05048 0.0546651
1.58489e+07 0.0462713 0.0453997 0.0578376 0.0502528 0.0547129
1.8197e+07 0.0462713 0.0455094 0.0571501 0.0500056 0.0546647
2.0893e+07 0.0462713 0.0456056 0.0564228 0.0497458 0.0545225
2.39883e+07 0.0462713 0.0456899 0.0556749 0.0494804 0.0542942
2.75423e+07 0.0462713 0.0457637 0.0549235 0.0492155 0.0539905
3.16228e+07 0.0462713 0.0458283 0.0541831 0.0489563 0.0536247
3.63078e+07 0.0462713 0.0458847 0.0534659 0.0487066 0.0532113
4.16869e+07 0.0462713 0.045934 0.0527809 0.0484695 0.052765
4.7863e+07 0.0462713 0.0459772 0.0521346 0.0482469 0.0522997
5.49541e+07 0.0462713 0.0460148 0.0515313 0.0480401 0.0518275
6.30957e+07 0.0462713 0.0460477 0.0509732 0.0478496 0.0513591
7.24436e+07 0.0462713 0.0460763 0.0504611 0.0476753 0.050903
8.31764e+07 0.0462713 0.0461013 0.0499942 0.047517 0.0504657
9.54993e+07 0.0462713 0.0461232 0.0495712 0.047374 0.050052
1.09648e+08 0.0462713 0.0461422 0.0491898 0.0472455 0.049665
1.25893e+08 0.0462713 0.0461588 0.0488476 0.0471304 0.0493063
1.44544e+08 0.0462713 0.0461733 0.0485417 0.0470276 0.0489768
1.65959e+08 0.0462713 0.0461859 0.0482691 0.0469363 0.0486761
1.90546e+08 0.0462713 0.0461969 0.048027 0.0468553 0.0484034
2.18776e+08 0.0462713 0.0462065 0.0478125 0.0467836 0.0481574
